input,name,type,label
ANWEAnalyzer 수질 TMS,[ANWE]Analyzer/ 수질 TMS,4,설비유형
[anwe]analyzer/ 수질 tms,[ANWE]Analyzer/ 수질 TMS,5,설비유형
Analyzer/ 수질 TMS,[ANWE]Analyzer/ 수질 TMS,6,설비유형
[APAP]APH/ APH,[APAP]APH/ APH,0,설비유형
[apap]aph/ aph,[APAP]APH/ APH,1,설비유형
[APAP]APH/ APH,[APAP]APH/ APH,2,설비유형
[APAP]APH/APH,[APAP]APH/ APH,3,설비유형
APAPAPH APH,[APAP]APH/ APH,4,설비유형
[apap]aph/ aph,[APAP]APH/ APH,5,설비유형
APH/ APH,[APAP]APH/ APH,6,설비유형
[BBBD]Buoy/ Buoy,[BBBD]Buoy/ Buoy,0,설비유형
[bbbd]buoy/ buoy,[BBBD]Buoy/ Buoy,1,설비유형
[BBBD]BUOY/ BUOY,[BBBD]Buoy/ Buoy,2,설비유형
[BBBD]Buoy/Buoy,[BBBD]Buoy/ Buoy,3,설비유형
BBBDBuoy Buoy,[BBBD]Buoy/ Buoy,4,설비유형
[bbbd]buoy/ buoy,[BBBD]Buoy/ Buoy,5,설비유형
Buoy/ Buoy,[BBBD]Buoy/ Buoy,6,설비유형
[BBFH]Buoy/ Floating Hose,[BBFH]Buoy/ Floating Hose,0,설비유형
[bbfh]buoy/ floating hose,[BBFH]Buoy/ Floating Hose,1,설비유형
[BBFH]BUOY/ FLOATING HOSE,[BBFH]Buoy/ Floating Hose,2,설비유형
[BBFH]Buoy/FloatingHose,[BBFH]Buoy/ Floating Hose,3,설비유형
BBFHBuoy Floating Hose,[BBFH]Buoy/ Floating Hose,4,설비유형
[bbfh]buoy/ floating hose,[BBFH]Buoy/ Floating Hose,5,설비유형
Buoy/ Floating Hose,[BBFH]Buoy/ Floating Hose,6,설비유형
[BBMO]Buoy/ Mooring,[BBMO]Buoy/ Mooring,0,설비유형
[bbmo]buoy/ mooring,[BBMO]Buoy/ Mooring,1,설비유형
[BBMO]BUOY/ MOORING,[BBMO]Buoy/ Mooring,2,설비유형
[BBMO]Buoy/Mooring,[BBMO]Buoy/ Mooring,3,설비유형
BBMOBuoy Mooring,[BBMO]Buoy/ Mooring,4,설비유형
[bbmo]buoy/ mooring,[BBMO]Buoy/ Mooring,5,설비유형
Buoy/ Mooring,[BBMO]Buoy/ Mooring,6,설비유형
[BBSH]Buoy/ Submarine Hose,[BBSH]Buoy/ Submarine Hose,0,설비유형
[bbsh]buoy/ submarine hose,[BBSH]Buoy/ Submarine Hose,1,설비유형
[BBSH]BUOY/ SUBMARINE HOSE,[BBSH]Buoy/ Submarine Hose,2,설비유형
[BBSH]Buoy/SubmarineHose,[BBSH]Buoy/ Submarine Hose,3,설비유형
BBSHBuoy Submarine Hose,[BBSH]Buoy/ Submarine Hose,4,설비유형
[bbsh]buoy/ submarine hose,[BBSH]Buoy/ Submarine Hose,5,설비유형
Buoy/ Submarine Hose,[BBSH]Buoy/ Submarine Hose,6,설비유형
[BLCE]Blower/Fan/ Centrifual,[BLCE]Blower/Fan/ Centrifual,0,설비유형
[blce]blower/fan/ centrifual,[BLCE]Blower/Fan/ Centrifual,1,설비유형
[BLCE]BLOWER/FAN/ CENTRIFUAL,[BLCE]Blower/Fan/ Centrifual,2,설비유형
[BLCE]Blower/Fan/Centrifual,[BLCE]Blower/Fan/ Centrifual,3,설비유형
BLCEBlowerFan Centrifual,[BLCE]Blower/Fan/ Centrifual,4,설비유형
[blce]blower/fan/ centrifual,[BLCE]Blower/Fan/ Centrifual,5,설비유형
Blower/Fan/ Centrifual,[BLCE]Blower/Fan/ Centrifual,6,설비유형
[CAGD]Cable/ Ground System,[CAGD]Cable/ Ground System,0,설비유형
[cagd]cable/ ground system,[CAGD]Cable/ Ground System,1,설비유형
[CAGD]CABLE/ GROUND SYSTEM,[CAGD]Cable/ Ground System,2,설비유형
[CAGD]Cable/GroundSystem,[CAGD]Cable/ Ground System,3,설비유형
CAGDCable Ground System,[CAGD]Cable/ Ground System,4,설비유형
[cagd]cable/ ground system,[CAGD]Cable/ Ground System,5,설비유형
Cable/ Ground System,[CAGD]Cable/ Ground System,6,설비유형
[CAHV]Cable/ High Voltage Cable,[CAHV]Cable/ High Voltage Cable,0,설비유형
[cahv]cable/ high voltage cable,[CAHV]Cable/ High Voltage Cable,1,설비유형
[CAHV]CABLE/ HIGH VOLTAGE CABLE,[CAHV]Cable/ High Voltage Cable,2,설비유형
[CAHV]Cable/HighVoltageCable,[CAHV]Cable/ High Voltage Cable,3,설비유형
CAHVCable High Voltage Cable,[CAHV]Cable/ High Voltage Cable,4,설비유형
[cahv]cable/ high voltage cable,[CAHV]Cable/ High Voltage Cable,5,설비유형
Cable/ High Voltage Cable,[CAHV]Cable/ High Voltage Cable,6,설비유형
[CBRE]Combustion Engine/ Reciprocating,[CBRE]Combustion Engine/ Reciprocating,0,설비유형
[cbre]combustion engine/ reciprocating,[CBRE]Combustion Engine/ Reciprocating,1,설비유형
[CBRE]COMBUSTION ENGINE/ RECIPROCATING,[CBRE]Combustion Engine/ Reciprocating,2,설비유형
[CBRE]CombustionEngine/Reciprocating,[CBRE]Combustion Engine/ Reciprocating,3,설비유형
CBRECombustion Engine Reciprocating,[CBRE]Combustion Engine/ Reciprocating,4,설비유형
[cbre]combustion engine/ reciprocating,[CBRE]Combustion Engine/ Reciprocating,5,설비유형
Combustion Engine/ Reciprocating,[CBRE]Combustion Engine/ Reciprocating,6,설비유형
[CFBD]Common Facility / Building,[CFBD]Common Facility / Building,0,설비유형
[cfbd]common facility / building,[CFBD]Common Facility / Building,1,설비유형
[CFBD]COMMON FACILITY / BUILDING,[CFBD]Common Facility / Building,2,설비유형
[CFBD]CommonFacility/Building,[CFBD]Common Facility / Building,3,설비유형
CFBDCommon Facility  Building,[CFBD]Common Facility / Building,4,설비유형
[cfbd]common facility / building,[CFBD]Common Facility / Building,5,설비유형
Common Facility / Building,[CFBD]Common Facility / Building,6,설비유형
[CFCR]Common Facility / Car,[CFCR]Common Facility / Car,0,설비유형
[cfcr]common facility / car,[CFCR]Common Facility / Car,1,설비유형
[CFCR]COMMON FACILITY / CAR,[CFCR]Common Facility / Car,2,설비유형
[CFCR]CommonFacility/Car,[CFCR]Common Facility / Car,3,설비유형
CFCRCommon Facility  Car,[CFCR]Common Facility / Car,4,설비유형
[cfcr]common facility / car,[CFCR]Common Facility / Car,5,설비유형
Common Facility / Car,[CFCR]Common Facility / Car,6,설비유형
[CFMC]Common Facility/ 변전소,[CFMC]Common Facility/ 변전소,0,설비유형
[cfmc]common facility/ 변전소,[CFMC]Common Facility/ 변전소,1,설비유형
[CFMC]COMMON FACILITY/ 변전소,[CFMC]Common Facility/ 변전소,2,설비유형
[CFMC]CommonFacility/변전소,[CFMC]Common Facility/ 변전소,3,설비유형
CFMCCommon Facility 변전소,[CFMC]Common Facility/ 변전소,4,설비유형
[cfmc]common facility/ 변전소,[CFMC]Common Facility/ 변전소,5,설비유형
Common Facility/ 변전소,[CFMC]Common Facility/ 변전소,6,설비유형
[CLCT]Control Logic Unit/ Pneumatic/Electric controller,[CLCT]Control Logic Unit/ Pneumatic/Electric controller,0,설비유형
[clct]control logic unit/ pneumatic/electric controller,[CLCT]Control Logic Unit/ Pneumatic/Electric controller,1,설비유형
[CLCT]CONTROL LOGIC UNIT/ PNEUMATIC/ELECTRIC CONTROLLER,[CLCT]Control Logic Unit/ Pneumatic/Electric controller,2,설비유형
[CLCT]ControlLogicUnit/Pneumatic/Electriccontroller,[CLCT]Control Logic Unit/ Pneumatic/Electric controller,3,설비유형
CLCTControl Logic Unit PneumaticElectric controller,[CLCT]Control Logic Unit/ Pneumatic/Electric controller,4,설비유형
[clct]control logic unit/ pneumatic/electric controller,[CLCT]Control Logic Unit/ Pneumatic/Electric controller,5,설비유형
Control Logic Unit/ Pneumatic/Electric controller,[CLCT]Control Logic Unit/ Pneumatic/Electric controller,6,설비유형
[CLDC]Control Logic Unit/ Distributed control system,[CLDC]Control Logic Unit/ Distributed control system,0,설비유형
[cldc]control logic unit/ distributed control system,[CLDC]Control Logic Unit/ Distributed control system,1,설비유형
[CLDC]CONTROL LOGIC UNIT/ DISTRIBUTED CONTROL SYSTEM,[CLDC]Control Logic Unit/ Distributed control system,2,설비유형
[CLDC]ControlLogicUnit/Distributedcontrolsystem,[CLDC]Control Logic Unit/ Distributed control system,3,설비유형
CLDCControl Logic Unit Distributed control system,[CLDC]Control Logic Unit/ Distributed control system,4,설비유형
[cldc]control logic unit/ distributed control system,[CLDC]Control Logic Unit/ Distributed control system,5,설비유형
Control Logic Unit/ Distributed control system,[CLDC]Control Logic Unit/ Distributed control system,6,설비유형
[CLHM]Control Logic Unit/ Human machine interface,[CLHM]Control Logic Unit/ Human machine interface,0,설비유형
[clhm]control logic unit/ human machine interface,[CLHM]Control Logic Unit/ Human machine interface,1,설비유형
[CLHM]CONTROL LOGIC UNIT/ HUMAN MACHINE INTERFACE,[CLHM]Control Logic Unit/ Human machine interface,2,설비유형
[CLHM]ControlLogicUnit/Humanmachineinterface,[CLHM]Control Logic Unit/ Human machine interface,3,설비유형
CLHMControl Logic Unit Human machine interface,[CLHM]Control Logic Unit/ Human machine interface,4,설비유형
[clhm]control logic unit/ human machine interface,[CLHM]Control Logic Unit/ Human machine interface,5,설비유형
Control Logic Unit/ Human machine interface,[CLHM]Control Logic Unit/ Human machine interface,6,설비유형
[CLIP]Control Logic Unit/ Instrument panel,[CLIP]Control Logic Unit/ Instrument panel,0,설비유형
[clip]control logic unit/ instrument panel,[CLIP]Control Logic Unit/ Instrument panel,1,설비유형
[CLIP]CONTROL LOGIC UNIT/ INSTRUMENT PANEL,[CLIP]Control Logic Unit/ Instrument panel,2,설비유형
[CLIP]ControlLogicUnit/Instrumentpanel,[CLIP]Control Logic Unit/ Instrument panel,3,설비유형
CLIPControl Logic Unit Instrument panel,[CLIP]Control Logic Unit/ Instrument panel,4,설비유형
[clip]control logic unit/ instrument panel,[CLIP]Control Logic Unit/ Instrument panel,5,설비유형
Control Logic Unit/ Instrument panel,[CLIP]Control Logic Unit/ Instrument panel,6,설비유형
[CLPT]Control Logic Unit/ PLC/TMR,[CLPT]Control Logic Unit/ PLC/TMR,0,설비유형
[clpt]control logic unit/ plc/tmr,[CLPT]Control Logic Unit/ PLC/TMR,1,설비유형
[CLPT]CONTROL LOGIC UNIT/ PLC/TMR,[CLPT]Control Logic Unit/ PLC/TMR,2,설비유형
[CLPT]ControlLogicUnit/PLC/TMR,[CLPT]Control Logic Unit/ PLC/TMR,3,설비유형
CLPTControl Logic Unit PLCTMR,[CLPT]Control Logic Unit/ PLC/TMR,4,설비유형
[clpt]control logic unit/ plc/tmr,[CLPT]Control Logic Unit/ PLC/TMR,5,설비유형
Control Logic Unit/ PLC/TMR,[CLPT]Control Logic Unit/ PLC/TMR,6,설비유형
[COCE]Compressor/ Centrifugal,[COCE]Compressor/ Centrifugal,0,설비유형
[coce]compressor/ centrifugal,[COCE]Compressor/ Centrifugal,1,설비유형
[COCE]COMPRESSOR/ CENTRIFUGAL,[COCE]Compressor/ Centrifugal,2,설비유형
[COCE]Compressor/Centrifugal,[COCE]Compressor/ Centrifugal,3,설비유형
COCECompressor Centrifugal,[COCE]Compressor/ Centrifugal,4,설비유형
[coce]compressor/ centrifugal,[COCE]Compressor/ Centrifugal,5,설비유형
Compressor/ Centrifugal,[COCE]Compressor/ Centrifugal,6,설비유형
[CODP]Compressor/ Displacement,[CODP]Compressor/ Displacement,0,설비유형
[codp]compressor/ displacement,[CODP]Compressor/ Displacement,1,설비유형
[CODP]COMPRESSOR/ DISPLACEMENT,[CODP]Compressor/ Displacement,2,설비유형
[CODP]Compressor/Displacement,[CODP]Compressor/ Displacement,3,설비유형
CODPCompressor Displacement,[CODP]Compressor/ Displacement,4,설비유형
[codp]compressor/ displacement,[CODP]Compressor/ Displacement,5,설비유형
Compressor/ Displacement,[CODP]Compressor/ Displacement,6,설비유형
[CORE]Compressor/ Reciprocating,[CORE]Compressor/ Reciprocating,0,설비유형
[core]compressor/ reciprocating,[CORE]Compressor/ Reciprocating,1,설비유형
[CORE]COMPRESSOR/ RECIPROCATING,[CORE]Compressor/ Reciprocating,2,설비유형
[CORE]Compressor/Reciprocating,[CORE]Compressor/ Reciprocating,3,설비유형
CORECompressor Reciprocating,[CORE]Compressor/ Reciprocating,4,설비유형
[core]compressor/ reciprocating,[CORE]Compressor/ Reciprocating,5,설비유형
Compressor/ Reciprocating,[CORE]Compressor/ Reciprocating,6,설비유형
[CSAC]Console / Auxiliary Console,[CSAC]Console / Auxiliary Console,0,설비유형
[csac]console / auxiliary console,[CSAC]Console / Auxiliary Console,1,설비유형
[CSAC]CONSOLE / AUXILIARY CONSOLE,[CSAC]Console / Auxiliary Console,2,설비유형
[CSAC]Console/AuxiliaryConsole,[CSAC]Console / Auxiliary Console,3,설비유형
CSACConsole  Auxiliary Console,[CSAC]Console / Auxiliary Console,4,설비유형
[csac]console / auxiliary console,[CSAC]Console / Auxiliary Console,5,설비유형
Console / Auxiliary Console,[CSAC]Console / Auxiliary Console,6,설비유형
[EGCE]Electric Generator/ Centrifugal,[EGCE]Electric Generator/ Centrifugal,0,설비유형
[egce]electric generator/ centrifugal,[EGCE]Electric Generator/ Centrifugal,1,설비유형
[EGCE]ELECTRIC GENERATOR/ CENTRIFUGAL,[EGCE]Electric Generator/ Centrifugal,2,설비유형
[EGCE]ElectricGenerator/Centrifugal,[EGCE]Electric Generator/ Centrifugal,3,설비유형
EGCEElectric Generator Centrifugal,[EGCE]Electric Generator/ Centrifugal,4,설비유형
[egce]electric generator/ centrifugal,[EGCE]Electric Generator/ Centrifugal,5,설비유형
Electric Generator/ Centrifugal,[EGCE]Electric Generator/ Centrifugal,6,설비유형
[EHEH]Electric Heater/ Electric Heater,[EHEH]Electric Heater/ Electric Heater,0,설비유형
[eheh]electric heater/ electric heater,[EHEH]Electric Heater/ Electric Heater,1,설비유형
[EHEH]ELECTRIC HEATER/ ELECTRIC HEATER,[EHEH]Electric Heater/ Electric Heater,2,설비유형
[EHEH]ElectricHeater/ElectricHeater,[EHEH]Electric Heater/ Electric Heater,3,설비유형
EHEHElectric Heater Electric Heater,[EHEH]Electric Heater/ Electric Heater,4,설비유형
[eheh]electric heater/ electric heater,[EHEH]Electric Heater/ Electric Heater,5,설비유형
Electric Heater/ Electric Heater,[EHEH]Electric Heater/ Electric Heater,6,설비유형
[EHET]Electric Heater/ Electric Heat Tracing,[EHET]Electric Heater/ Electric Heat Tracing,0,설비유형
[ehet]electric heater/ electric heat tracing,[EHET]Electric Heater/ Electric Heat Tracing,1,설비유형
[EHET]ELECTRIC HEATER/ ELECTRIC HEAT TRACING,[EHET]Electric Heater/ Electric Heat Tracing,2,설비유형
[EHET]ElectricHeater/ElectricHeatTracing,[EHET]Electric Heater/ Electric Heat Tracing,3,설비유형
EHETElectric Heater Electric Heat Tracing,[EHET]Electric Heater/ Electric Heat Tracing,4,설비유형
[ehet]electric heater/ electric heat tracing,[EHET]Electric Heater/ Electric Heat Tracing,5,설비유형
Electric Heater/ Electric Heat Tracing,[EHET]Electric Heater/ Electric Heat Tracing,6,설비유형
[ELEL]Elevator/ Elevator,[ELEL]Elevator/ Elevator,0,설비유형
[elel]elevator/ elevator,[ELEL]Elevator/ Elevator,1,설비유형
[ELEL]ELEVATOR/ ELEVATOR,[ELEL]Elevator/ Elevator,2,설비유형
[ELEL]Elevator/Elevator,[ELEL]Elevator/ Elevator,3,설비유형
ELELElevator Elevator,[ELEL]Elevator/ Elevator,4,설비유형
[elel]elevator/ elevator,[ELEL]Elevator/ Elevator,5,설비유형
Elevator/ Elevator,[ELEL]Elevator/ Elevator,6,설비유형
[EXDP]Extruder/ Displacement,[EXDP]Extruder/ Displacement,0,설비유형
[exdp]extruder/ displacement,[EXDP]Extruder/ Displacement,1,설비유형
[EXDP]EXTRUDER/ DISPLACEMENT,[EXDP]Extruder/ Displacement,2,설비유형
[EXDP]Extruder/Displacement,[EXDP]Extruder/ Displacement,3,설비유형
EXDPExtruder Displacement,[EXDP]Extruder/ Displacement,4,설비유형
[exdp]extruder/ displacement,[EXDP]Extruder/ Displacement,5,설비유형
Extruder/ Displacement,[EXDP]Extruder/ Displacement,6,설비유형
[FACE]Fan/ Centrifugal,[FACE]Fan/ Centrifugal,0,설비유형
[face]fan/ centrifugal,[FACE]Fan/ Centrifugal,1,설비유형
[FACE]FAN/ CENTRIFUGAL,[FACE]Fan/ Centrifugal,2,설비유형
[FACE]Fan/Centrifugal,[FACE]Fan/ Centrifugal,3,설비유형
FACEFan Centrifugal,[FACE]Fan/ Centrifugal,4,설비유형
[face]fan/ centrifugal,[FACE]Fan/ Centrifugal,5,설비유형
Fan/ Centrifugal,[FACE]Fan/ Centrifugal,6,설비유형
[GBCE]Gear Box/ Centrifugal,[GBCE]Gear Box/ Centrifugal,0,설비유형
[gbce]gear box/ centrifugal,[GBCE]Gear Box/ Centrifugal,1,설비유형
[GBCE]GEAR BOX/ CENTRIFUGAL,[GBCE]Gear Box/ Centrifugal,2,설비유형
[GBCE]GearBox/Centrifugal,[GBCE]Gear Box/ Centrifugal,3,설비유형
GBCEGear Box Centrifugal,[GBCE]Gear Box/ Centrifugal,4,설비유형
[gbce]gear box/ centrifugal,[GBCE]Gear Box/ Centrifugal,5,설비유형
Gear Box/ Centrifugal,[GBCE]Gear Box/ Centrifugal,6,설비유형
[GVGV]Guided Vehicle/ Guided Vehicle,[GVGV]Guided Vehicle/ Guided Vehicle,0,설비유형
[gvgv]guided vehicle/ guided vehicle,[GVGV]Guided Vehicle/ Guided Vehicle,1,설비유형
[GVGV]GUIDED VEHICLE/ GUIDED VEHICLE,[GVGV]Guided Vehicle/ Guided Vehicle,2,설비유형
[GVGV]GuidedVehicle/GuidedVehicle,[GVGV]Guided Vehicle/ Guided Vehicle,3,설비유형
GVGVGuided Vehicle Guided Vehicle,[GVGV]Guided Vehicle/ Guided Vehicle,4,설비유형
[gvgv]guided vehicle/ guided vehicle,[GVGV]Guided Vehicle/ Guided Vehicle,5,설비유형
Guided Vehicle/ Guided Vehicle,[GVGV]Guided Vehicle/ Guided Vehicle,6,설비유형
[HBBO]Fired Equipment/ Boiler,[HBBO]Fired Equipment/ Boiler,0,설비유형
[hbbo]fired equipment/ boiler,[HBBO]Fired Equipment/ Boiler,1,설비유형
[HBBO]FIRED EQUIPMENT/ BOILER,[HBBO]Fired Equipment/ Boiler,2,설비유형
[HBBO]FiredEquipment/Boiler,[HBBO]Fired Equipment/ Boiler,3,설비유형
HBBOFired Equipment Boiler,[HBBO]Fired Equipment/ Boiler,4,설비유형
[hbbo]fired equipment/ boiler,[HBBO]Fired Equipment/ Boiler,5,설비유형
Fired Equipment/ Boiler,[HBBO]Fired Equipment/ Boiler,6,설비유형
[HBBR]Fired Equipment/ Burner,[HBBR]Fired Equipment/ Burner,0,설비유형
[hbbr]fired equipment/ burner,[HBBR]Fired Equipment/ Burner,1,설비유형
[HBBR]FIRED EQUIPMENT/ BURNER,[HBBR]Fired Equipment/ Burner,2,설비유형
[HBBR]FiredEquipment/Burner,[HBBR]Fired Equipment/ Burner,3,설비유형
HBBRFired Equipment Burner,[HBBR]Fired Equipment/ Burner,4,설비유형
[hbbr]fired equipment/ burner,[HBBR]Fired Equipment/ Burner,5,설비유형
Fired Equipment/ Burner,[HBBR]Fired Equipment/ Burner,6,설비유형
[HBFH]Fired Equipment/ Fired Heater,[HBFH]Fired Equipment/ Fired Heater,0,설비유형
[hbfh]fired equipment/ fired heater,[HBFH]Fired Equipment/ Fired Heater,1,설비유형
[HBFH]FIRED EQUIPMENT/ FIRED HEATER,[HBFH]Fired Equipment/ Fired Heater,2,설비유형
[HBFH]FiredEquipment/FiredHeater,[HBFH]Fired Equipment/ Fired Heater,3,설비유형
HBFHFired Equipment Fired Heater,[HBFH]Fired Equipment/ Fired Heater,4,설비유형
[hbfh]fired equipment/ fired heater,[HBFH]Fired Equipment/ Fired Heater,5,설비유형
Fired Equipment/ Fired Heater,[HBFH]Fired Equipment/ Fired Heater,6,설비유형
[HBFR]Fired Equipment/ Furnace,[HBFR]Fired Equipment/ Furnace,0,설비유형
[hbfr]fired equipment/ furnace,[HBFR]Fired Equipment/ Furnace,1,설비유형
